currency_from,currency_to,exchange_rate
btc,eth,29.239254
btc,btc,1.0
btc,ltc,1096.0
btc,xrp,44530.0
btc,bch,155.728
btc,eos,502335.0
btc,sol,680.271
btc,dot,44316.0
btc,link,6573.0
btc,xlm,376706.0
bch,eth,0.18776048
bch,btc,0.00641872
bch,ltc,7.040137
bch,xrp,285.949
bch,bch,1.0
bch,eos,3226.0
bch,sol,4.368372
bch,dot,284.578
bch,link,42.206139
bch,xlm,2419.0
ada,eth,0.0001329
ada,btc,4.54e-06
ada,ltc,0.00498297
ada,xrp,0.2023931
ada,bch,0.0007078
ada,eos,2.283171
ada,sol,0.00309191
ada,dot,0.20142275
ada,link,0.02987328
ada,xlm,1.712172
link,eth,0.00444856
link,btc,0.00015208
link,ltc,0.16680021
link,xrp,6.774916
link,bch,0.02369303
link,eos,76.427
link,sol,0.10349874
link,dot,6.742435
link,link,1.0
link,xlm,57.313
doge,eth,4.453e-05
doge,btc,1.52e-06
doge,ltc,0.00166983
doge,xrp,0.06782341
doge,bch,0.00023719
doge,eos,0.7651072
doge,sol,0.00103612
doge,dot,0.06749824
doge,link,0.01001075
doge,xlm,0.57376151
eos,eth,5.821e-05
eos,btc,1.99e-06
eos,ltc,0.00218256
eos,xrp,0.0886489
eos,bch,0.00031002
eos,eos,1.0
eos,sol,0.00135427
eos,dot,0.08822388
eos,link,0.0130846
eos,xlm,0.74993762
eth,eth,1.0
eth,btc,0.0341809
eth,ltc,37.490088
eth,xrp,1523.0
eth,bch,5.325256
eth,eos,17178.0
eth,sol,23.262422
eth,dot,1515.0
eth,link,224.756
eth,xlm,12882.0
ltc,eth,0.02666862
ltc,btc,0.00091168
ltc,ltc,1.0
ltc,xrp,40.61485
ltc,bch,0.14203702
ltc,eos,458.171
ltc,sol,0.6204631
ltc,dot,40.420126
ltc,link,5.994763
ltc,xlm,343.587
dot,eth,0.0006598
dot,btc,2.256e-05
dot,ltc,0.02473934
dot,xrp,1.004837
dot,bch,0.00351408
dot,eos,11.335434
dot,sol,0.01535064
dot,dot,1.0
dot,link,0.14831416
dot,xlm,8.500555
xrp,eth,0.00065664
xrp,btc,2.245e-05
xrp,ltc,0.02462102
xrp,xrp,1.0
xrp,bch,0.00349728
xrp,eos,11.281223
xrp,sol,0.01527723
xrp,dot,0.9952365
xrp,link,0.14760485
xrp,xlm,8.459901
sol,eth,0.04298253
sol,btc,0.00146939
sol,ltc,1.611643
sol,xrp,65.46
sol,bch,0.22892488
sol,eos,738.446
sol,sol,1.000017
sol,dot,65.146
sol,link,9.66192
sol,xlm,553.768
xlm,eth,7.762e-05
xlm,btc,2.65e-06
xlm,ltc,0.00291045
xlm,xrp,0.11821354
xlm,bch,0.00041341
xlm,eos,1.333552
xlm,sol,0.00180592
xlm,dot,0.11764677
xlm,link,0.01744835
xlm,xlm,1.0
trx,eth,8.884e-05
trx,btc,3.04e-06
trx,ltc,0.00333093
trx,xrp,0.13529241
trx,bch,0.00047314
trx,eos,1.526216
trx,sol,0.00206683
trx,dot,0.13464376
trx,link,0.0199692
trx,xlm,1.144525
