currency_from,currency_to,exchange_rate
btc,eth,28.954058
btc,btc,1.0
btc,ltc,1084.0
btc,xrp,43969.0
btc,bch,157.352
btc,eos,506076.0
btc,sol,680.349
btc,dot,42792.0
btc,link,6552.0
btc,xlm,376649.0
bch,eth,0.18400865
bch,btc,0.00635478
bch,ltc,6.888224
bch,xrp,279.432
bch,bch,1.0
bch,eos,3216.0
bch,sol,4.323749
bch,dot,271.95
bch,link,41.639418
bch,xlm,2394.0
ada,eth,0.00013704
ada,btc,4.73e-06
ada,ltc,0.00513004
ada,xrp,0.20810854
ada,bch,0.00074476
ada,eos,2.395288
ada,sol,0.00322013
ada,dot,0.20253632
ada,link,0.03101116
ada,xlm,1.782704
link,eth,0.00441934
link,btc,0.00015262
link,ltc,0.16543465
link,xrp,6.711131
link,bch,0.02401707
link,eos,77.244
link,sol,0.10384358
link,dot,6.531437
link,link,1.0
link,xlm,57.489
doge,eth,4.499e-05
doge,btc,1.55e-06
doge,ltc,0.00168412
doge,xrp,0.06831929
doge,bch,0.00024449
doge,eos,0.78634136
doge,sol,0.00105713
doge,dot,0.06649
doge,link,0.01018056
doge,xlm,0.58523836
eos,eth,5.721e-05
eos,btc,1.98e-06
eos,ltc,0.00214172
eos,xrp,0.08688231
eos,bch,0.00031092
eos,eos,1.0
eos,sol,0.00134436
eos,dot,0.08455599
eos,link,0.01294671
eos,xlm,0.74425339
eth,eth,1.0
eth,btc,0.03454167
eth,ltc,37.441245
eth,xrp,1519.0
eth,bch,5.435554
eth,eos,17482.0
eth,sol,23.501926
eth,dot,1478.0
eth,link,226.333
eth,xlm,13011.0
ltc,eth,0.02672325
ltc,btc,0.00092256
ltc,ltc,1.0
ltc,xrp,40.581522
ltc,bch,0.14523126
ltc,eos,467.071
ltc,sol,0.62794261
ltc,dot,39.507113
ltc,link,6.048985
ltc,xlm,347.654
dot,eth,0.00067667
dot,btc,2.337e-05
dot,ltc,0.02533071
dot,xrp,1.027583
dot,bch,0.0036774
dot,eos,11.82727
dot,sol,0.01590013
dot,dot,1.0
dot,link,0.15312455
dot,xlm,8.802502
xrp,eth,0.00065859
xrp,btc,2.274e-05
xrp,ltc,0.02465374
xrp,xrp,1.0
xrp,bch,0.00357912
xrp,eos,11.511179
xrp,sol,0.01547519
xrp,dot,0.97334097
xrp,link,0.14903221
xrp,xlm,8.56725
sol,eth,0.04256577
sol,btc,0.00147002
sol,ltc,1.593417
sol,xrp,64.64
sol,bch,0.23132525
sol,eos,743.989
sol,sol,1.00019
sol,dot,62.909
sol,link,9.632232
sol,xlm,553.718
xlm,eth,7.687e-05
xlm,btc,2.65e-06
xlm,ltc,0.00287772
xlm,xrp,0.1167394
xlm,bch,0.00041777
xlm,eos,1.343647
xlm,sol,0.00180635
xlm,dot,0.11361364
xlm,link,0.01739585
xlm,xlm,1.0
trx,eth,9.002e-05
trx,btc,3.11e-06
trx,ltc,0.00336977
trx,xrp,0.13670052
trx,bch,0.00048921
trx,eos,1.573396
trx,sol,0.00211521
trx,dot,0.13304029
trx,link,0.02037034
trx,xlm,1.171007
